,Edge Node ID,Start Node ID,End Node ID,L2 Distance
0,2,2,3,0
1,3,3,4,2
2,4,4,5,4
3,5,5,6,14
4,6,1,7,2
5,7,7,8,7
6,8,8,9,0
7,9,9,10,4
8,10,6,11,8
9,11,10,12,24
10,12,11,13,5
11,13,13,14,0
12,14,14,15,6
13,15,15,16,6
14,16,12,17,2
15,17,16,18,8
16,18,17,19,8
17,19,19,20,7
18,20,18,21,5
19,21,21,22,1
20,22,22,23,7
21,23,20,24,10
22,24,23,25,4
23,25,24,26,11
24,26,25,27,1
25,27,27,28,2
26,28,28,29,2
27,29,29,30,9
28,30,26,31,18
29,31,30,32,0
30,32,32,33,3
31,33,33,34,2
32,34,34,35,1
33,35,35,36,3
34,37,31,38,12
35,38,38,39,2
36,39,39,40,27
37,43,43,44,7
38,44,42,45,6
39,45,45,46,2
40,46,41,47,6
41,47,44,48,6
42,48,46,49,3
43,49,47,50,1
44,50,49,51,8
45,51,50,52,7
46,52,48,53,7
47,53,51,54,2
48,54,53,55,2
49,55,52,56,15
50,58,40,58,1
51,59,58,59,15
52,62,56,62,0
53,63,62,63,1
54,64,63,64,3
55,65,60,65,7
56,66,59,66,6
57,67,64,67,1
58,68,61,68,5
59,69,67,69,1
60,70,69,70,2
61,71,65,71,7
62,72,70,72,16
63,73,68,73,1
64,74,66,74,3
65,75,73,75,6
66,76,71,76,11
67,77,74,77,3
68,78,77,78,12
69,79,75,79,28
70,80,72,80,8
71,81,76,81,0
72,82,81,82,15
73,83,80,83,23
74,84,78,84,3
75,85,84,85,8
76,86,82,86,11
77,87,85,87,3
78,88,79,88,1
79,89,87,89,2
80,90,88,90,0
81,91,83,91,3
82,92,90,92,5
83,93,89,93,4
84,94,86,94,2
85,95,91,95,19
86,96,94,96,20
87,97,93,97,3
88,98,92,98,28
89,99,97,99,9
90,100,99,100,4
91,101,95,101,21
92,102,100,102,4
93,103,96,103,2
94,104,102,104,1
95,105,103,105,14
96,106,104,106,4
97,107,106,107,3
98,108,98,108,14
99,109,101,109,2
100,110,107,110,13
101,111,109,111,4
102,112,111,112,5
103,113,105,113,6
104,114,112,114,6
105,115,113,115,2
106,116,115,116,3
107,117,108,117,5
108,118,114,118,5
109,119,110,119,5
110,120,116,120,10
111,121,118,121,1
112,122,121,122,0
113,123,117,123,7
114,124,122,124,2
115,125,119,125,1
